experiment,item_type,form,meaning,hypothesis
4,trial,fuku,BLOW|PUFF,iconic
4,trial,kurai,DARK|DIM,iconic
4,trial,serasera,PRICKLING|TINGLING,iconic
4,trial,syizukaya,QUIET,iconic
4,trial,kapokapo,SLOSHING|SPLASHING,iconic
4,trial,musyimusyi,HUMID|MUGGY,iconic
4,trial,nebaneba,SLIMY|GOOEY,iconic
4,trial,yaQkiri,ANNOYED|IMPATIENT,iconic
4,trial,mukamuka,ANNOYED|IMPATIENT,iconic
4,trial,nigai,ACRID (taste)|BITTER (taste),iconic
4,trial,booQ,FUZZY|BLURRY|HAZY,iconic
4,trial,kaku,SCRATCH,not iconic
4,trial,miQtomonai,SCRUFFY|TATTY|RAGGEDY,not iconic
4,trial,modokasyii,ANNOYED|IMPATIENT,not iconic
4,trial,kitsuka,EXHAUSTED|TIRED|WEARY,not iconic
4,trial,yogoreru,WET|SOGGY|DAMP,not iconic
4,trial,kanasyii,SAD|GLUM,not iconic
4,trial,omoreru,HUMID|MUGGY,not iconic
4,trial,koi,RICH (taste)|STRONG (taste),not iconic
4,trial,mawaru,ROLL|SPIN,not iconic
4,trial,hagai,ANNOYED|IMPATIENT,not iconic
4,control,katai,HARD,iconic
4,control,pyoNpyoN,BOUNCING|HOPPING,iconic
4,control,hisohiso,WHISPERING,iconic
