form,eng_trans,status,item,meaning,old_foil,goodone,done,notes
dayai,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,wutua|yutyua|hutsua,TRUE,NA,NA
guQtari,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,rihuha|siwukya|tyiyuka,TRUE,NA,NA
hoQkori,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,neneha|dzezekya|zyereka,TRUE,NA,NA
syiNdo,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,raQwe|naQye|maQhe,TRUE,NA,NA
hayai,FAST,iconic,trial,FAST|QUICK|SPEEDY,nutua|dzutyua|zyutsua,TRUE,NA,NA
syimiru,FREEZE,iconic,trial,FREEZE,ratyahi|nasakyi|masyaki,TRUE,NA,NA
katyikatyi,HARD,iconic,trial,HARD,nuwa|zuya|ruga,TRUE,NA,NA
omoi,HEAVY,iconic,trial,HEAVY,etyea|esea|esyea,TRUE,NA,NA
atsui,HOT,iconic,trial,HOT,uhia|uwia|uyia,TRUE,NA,NA
nuQka,HOT,iconic,trial,HOT,syinu|kizu|hiru,TRUE,NA,NA
hotoru,HUMID,iconic,trial,HUMID|MUGGY,nehehi|dzewekyi|zyeyeki,TRUE,NA,NA
zyitozyito,HUMID,iconic,trial,HUMID|MUGGY,mahe|wawe|haye,TRUE,NA,NA
syikasyika,ITCHING,iconic,trial,ITCHING|PRICKLING,ranu|nazu|maru,TRUE,NA,NA
naGai,LONG,iconic,trial,LONG,syurua|kusua|hutyua,TRUE,NA,NA
nurui,LUKEWARM,iconic,trial,LUKEWARM,syihia|kikyia|hikia,TRUE,NA,NA
ookii,NOISY,iconic,trial,LOUD|NOISY,ena|eza|era,TRUE,NA,NA
urusai,NOISY,iconic,trial,LOUD|NOISY,ihikua|ikyimua|ikigua,TRUE,NA,NA
zyukuzyuku,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mini|wizi|hiri,TRUE,NA,NA
zyuruzyuru,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mihi|wikyi|hiki,TRUE,NA,NA
bakubaku,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),tyuni|huzi|syuri,TRUE,NA,NA
dokidoki,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),wena|yeza|hera,TRUE,NA,NA
toNtoN,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),heQ|weQ|yeQ,TRUE,NA,NA
hirihiri,PRICKLING,iconic,trial,PRICKLING|TINGLING|SCRATCHING,naha|dzakya|zyaka,TRUE,NA,NA
tyikatyika,PRICKLING,iconic,trial,PRICKLING|TINGLING|SCRATCHING,wanu|yazu|garu,TRUE,NA,NA
syiiN,QUIET,iconic,trial,QUIET,raQ|naQ|maQ,TRUE,NA,NA
tataku,RAP (AT THE DOOR),iconic,trial,RAP (at the door)|KNOCK (at the door),huhuni|wuwuzi|yuyuri,TRUE,NA,NA
zaQkuzaQku,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,guni|kyuzi|kuri,TRUE,NA,NA
zyarizyari,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,muha|wukya|huka,TRUE,NA,NA
zyasyizyasyi,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,mura|wuna|huma,TRUE,NA,NA
marui,ROUND,iconic,trial,ROUND|CIRCULAR,tyuhia|sukyia|syukia,TRUE,NA,NA
adzu,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,uwi|uyi|uhi,TRUE,NA,NA
atsukamasyii,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,uhinutyura|uwizusuna|uyirusyuma,TRUE,NA,NA
zuuzuusyii,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima,TRUE,NA,NA
samisyii,SAD,iconic,trial,SAD|GLUM,kutyara|musana|gusyama,TRUE,NA,NA
kowa,SCARY,iconic,trial,SCARY|FRIGHTENING,nezyu|zetyu|retsu,TRUE,NA,NA
zyizyimusai,SHABBY,iconic,trial,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua,TRUE,NA,NA
buruburu,SHAKING,iconic,trial,SHAKING|TREMBLING,tyihi|hikyi|syiki,TRUE,NA,NA
gatagata,SHAKING,iconic,trial,SHAKING|TREMBLING,ruhu|suwu|tyuyu,TRUE,NA,NA
nebutai,SLEEPY,iconic,trial,SLEEPY|DROWSY,syotyihua|kohiwua|hosyiyua,TRUE,NA,NA
tsurutsuru,SLICK,iconic,trial,SLIPPERY|SMOOTH,hihi|wikyi|yiki,TRUE,NA,NA
taputapu,SLOSHING,iconic,trial,SLOSHING|SPLASHING,husyi|wuwi|yuyi,TRUE,NA,NA
noroi,SLOW,iconic,trial,SLOW,syehea|kekyea|hekea,TRUE,NA,NA
toroi,SLOW,iconic,trial,SLOW,hehea|wekyea|yekea,TRUE,NA,NA
dayai,SLUGGISH,iconic,trial,SLUGGISH|LETHARGIC,wutua|yutyua|hutsua,TRUE,NA,NA
naNgii,SLUGGISH,iconic,trial,SLUGGISH|LETHARGIC,syuQra|kuQsa|huQtya,TRUE,NA,NA
komai,SMALL,iconic,trial,SMALL|LITTLE|TINY,netyua|zesua|resyua,TRUE,NA,NA
nikoniko,SMILING,iconic,trial,GRINNING|SMILING,syane|kaze|hare,TRUE,NA,NA
yarakai,SOFT,iconic,trial,SOFT|SQUISHY,tuhunua|tyukyuzua|tsukurua,TRUE,NA,NA
sui,SOUR,iconic,trial,SOUR|ACIDIC,kia|mia|gia,TRUE,NA,NA
syibui,SOUR,iconic,trial,SOUR|ACIDIC,ratyia|nahia|masyia,TRUE,NA,NA
karai,SPICY,iconic,trial,SPICY,nuhua|zukyua|rukua,TRUE,NA,NA
haku,SPIT,iconic,trial,SPIT|VOMIT,nuni|dzuzi|zyuri,TRUE,NA,NA
syibasyiba,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",ratyu|nahu|masyu,TRUE,NA,NA
syobosyobo,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",retye|nehe|mesye,TRUE,NA,NA
zyikazyika,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",manu|wazu|haru,TRUE,NA,NA
iQpai,STUFFED (FULL OF FOOD),iconic,trial,STUFFED (from eating too much)|FULL (from eating),asyua|awua|ayua,TRUE,NA,NA
