concept,form,item,meaning,iconic,foils
SHABBY,boroboro,trial,SCRUFFY|TATTY|RAGGEDY,y,tyehe|hekye|syeke
LIVELY (ENERGETIC),piNpiN,trial,LIVELY|ENERGETIC,y,syaQ|waQ|yaQ
CLEAN,keQko,trial,CLEAN|TIDY,y,none|zoze|rore
CLEAN,kiree,trial,CLEAN|TIDY,y,naho|zakyo|rako
CLINGING,netyinetyi,trial,CLINGY,y,syowa|koya|hoga
SLICK,subesube,trial,SLIPPERY|SMOOTH,y,kityo|miho|gisyo
FUZZY,boNyari,trial,FUZZY|BLURRY|HAZY,y,tyeQtuha|heQtyukya|syeQtsuka
TIGHT,kyuukutsuka,trial,TIGHT|PINCHING,y,ninihinu|ziziwizu|ririyiru
WARM,aQtakee,trial,WARM,y,uhuno|uwuzo|uyuro
FULL (TO THE BRIM),iQpai,trial,FULL (to the brim)|FULL (to bursting),y,asyua|awua|ayua
HUMID,musyimusyi,trial,HUMID|MUGGY,y,tyira|sina|syima
TIGHT,kitsui,trial,TIGHT|PINCHING,y,nahia|zawia|rayia
PRICKLING,iraira,trial,PRICKLING|TINGLING,y,ahu|akyu|aku
SMALL,tyiQtyai,trial,SMALL|LITTLE|TINY,y,wawua|yayua|gagua
COLD (WEATHER),sabui,trial,COLD|CHILLY,n,kutyia|muhia|gusyia
SLUGGISH,syiNdoi,trial,SLUGGISH|LETHARGIC,n,raQwea|naQyea|maQhea
DRY,koragu,trial,DRY|PARCHED,n,nehuri|zekyusi|rekutyi
SLUGGISH,koe,trial,SLUGGISH|LETHARGIC,n,neo|zeo|reo
EXHAUSTED,koenee,trial,EXHAUSTED|TIRED|WEARY,n,neosyo|zeoko|reoho
LIGHT,karui,trial,LIGHT|AIRY,n,nuhia|zukyia|rukia
GLARING (OVERLY BRIGHT),matsupoi,trial,GLARING (light)|BLINDING (light),n,tyuhisyea|suwiwea|syuyiyea
(SPINE) TINGLING,zawazawa,trial,SHIVERS (DOWN YOUR SPINE)|(SPINE) TINGLING,y,kyutyu|guzyu|kutsu
(SPINE) TINGLING,zoNzoN,trial,SHIVERS (DOWN YOUR SPINE)|(SPINE) TINGLING,y,kyeQ|geQ|keQ
