form,eng_trans,iconic,item,meaning,old_foil,goodone,done,notes,foils
gatagata,SHAKING,y,trial,SHAKING|TREMBLING,ruhu|suwu|tyuyu,TRUE,NA,NA,huyu|wuwu|rimi
nebutai,SLEEPY,y,trial,SLEEPY|DROWSY,syotyihua|kohiwua|hosyiyua,TRUE,NA,NA,yoyiyia|pyorimia|wowawuu
tsurutsuru,SLICK,y,trial,SLIPPERY|SMOOTH,hihi|wikyi|yiki,TRUE,NA,NA,pyiQgi|yipyi|wakya
taputapu,SLOSHING,y,trial,SLOSHING|SPLASHING,husyi|wuwi|yuyi,TRUE,NA,NA,muri|wuyi|yiwa
noroi,SLOW,y,trial,SLOW,syehea|kekyea|hekea,TRUE,NA,NA,weQkeu|pyekeu|yeQgea
toroi,SLOW,y,trial,SLOW,hehea|wekyea|yekea,TRUE,NA,NA,yekyeu|wekeu|meQpea
dayai,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,wutua|yutyua|hutsua,TRUE,NA,NA,hitiu|yiQdiu|wutyua
naNgii,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,syuQra|kuQsa|huQtya,TRUE,NA,NA,wiQru|yiQhu|pyuQwa
komai,SMALL,y,trial,SMALL|LITTLE|TINY,netyua|zesua|resyua,TRUE,NA,NA,neyua|werua|rewiu
nikoniko,SMILING,y,trial,GRINNING|SMILING,syane|kaze|hare,TRUE,NA,NA,yure|pyune|wawe
yarakai,SOFT,y,trial,SOFT|SQUISHY,tuhunua|tyukyuzua|tsukurua,TRUE,NA,NA,Qpukyuruu|tsukuwuu|tiQpinia
sui,SOUR,y,trial,SOUR|ACIDIC,kia|mia|gia,TRUE,NA,NA,pyiu|yiu|waa
syibui,SOUR,y,trial,SOUR|ACIDIC,ratyia|nahia|masyia,TRUE,NA,NA,pyaria|yayia|wuwau
karai,SPICY,y,trial,SPICY,nuhua|zukyua|rukua,TRUE,NA,NA,niQkia|ripyia|wuQguu
haku,SPIT,y,trial,SPIT|VOMIT,nuni|dzuzi|zyuri,TRUE,NA,NA,wura|pyuwa|nini
syibasyiba,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",ratyu|nahu|masyu,TRUE,NA,NA,yuri|wuwi|pyayu
syobosyobo,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",retye|nehe|mesye,TRUE,NA,NA,yere|pyewe|weye
zyikazyika,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",manu|wazu|haru,TRUE,NA,NA,yunu|wuwu|rari
iQpai,STUFFED (FULL OF FOOD),y,trial,STUFFED (from eating too much)|FULL (from eating),asyua|awua|ayua,TRUE,NA,NA,awia|aria|uyuu
amai,SWEET,y,trial,SWEET,utyua|usua|usyua,TRUE,NA,NA,iyia|ihia|uruu
futoi,THICK,y,trial,THICK|FAT,rihea|giwea|niyea,TRUE,NA,NA,riyeu|niweu|yamea
komaka,THIN,y,trial,THIN|SLENDER,netyunu|zesuzu|resyuru,TRUE,NA,NA,wewuwu|nehunu|reriri
zukizuki,THROBBING,y,trial,THROBBING|PULSATING,gina|kyiza|kira,TRUE,NA,NA,yawu|wanu|pyira
zuNzuN,THROBBING,y,trial,THROBBING|PULSATING,giQ|kyiQ|kiQ,TRUE,NA,NA,pyaQ|yaQ|wiQ
kibui,TIGHT,y,trial,TIGHT|PINCHING,natyia|zahia|rasyia,TRUE,NA,NA,raria|nawia|wuyau
pityipityi,TIGHT,y,trial,TIGHT|PINCHING,syawa|waya|yaga,TRUE,NA,NA,yawa|waya|ruru
tyiisoo,TIGHT,y,trial,TIGHT|PINCHING,wake|yame|gage,TRUE,NA,NA,yupye|ruye|wawe
hirihiri,TINGLING,y,trial,BURNING|TINGLING,naha|dzakya|zyaka,TRUE,NA,NA,nuQku|pyukyu|rapya
nukui,WARM,y,trial,WARM,syinia|kizia|hiria,TRUE,NA,NA,yanaa|wawaa|pyiriu
pokapoka,WARM,y,trial,WARM,syenu|wezu|yeru,TRUE,NA,NA,renu|weru|yewi
usui,WEAK,y,trial,BLAND (taste)|TASTELESS|WATERY (taste),ikia|imia|igia,TRUE,NA,NA,iwiu|ipyiu|ayaa
nureru,WET,y,trial,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki,TRUE,NA,NA,yaQkopyi|waQgoQgi|pyikyokya
syimeQpoi,WET,y,trial,WET|SOGGY|DAMP,ratyosyea|nasowea|masyoyea,TRUE,NA,NA,pyarorea|yahowea|wuyoyeu
syiQketoru,WET,y,trial,WET|SOGGY|DAMP,ranohehi|nazowekyi|maroyeki,TRUE,NA,NA,wanoweQpa|yawoyepya|pyuromeQgi
syitosyito,WET,y,trial,WET|SOGGY|DAMP,rahe|nawe|maye,TRUE,NA,NA,pyuye|wume|yawe
ookii,ROUGH,n,trial,ROUGH|GRITTY|COARSE,ena|eza|era,TRUE,NA,NA,ena|era|ewu
sukosyi,A LITTLE,n,trial,A LITTLE|SLIGHTLY,kinera|mizena|girema,TRUE,NA,NA,waweya|pyarewa|yinepyu
iratyimonai,ANNOYED/IMPATIENT,n,trial,ANNOYED|IMPATIENT,NA,TRUE,NA,NA,uQguwuwewiu|upyuruhepyiu|akyiyayeyua
kubiru,BIND,n,trial,BIND|TIGHTEN,nityahi|zihakyi|risyaki,TRUE,NA,NA,riwuki|wiyupyi|naraQpa
kukuru,BIND,n,trial,BIND|TIGHTEN,ninihi|zizikyi|ririki,TRUE,NA,NA,raripyi|waniQgi|niwaQka
syibaru,BIND,n,trial,BIND|TIGHTEN,ratyuhi|nahukyi|masyuki,TRUE,NA,NA,pyayuQpi|waruQgi|yuwipya
kamu,CHEW,n,trial,CHEW,nutyi|zusi|rusyi,TRUE,NA,NA,rura|nuha|wiyi
utsukusyi,CLEAN,n,trial,CLEAN|TIDY,ihinira|iwizina|iyirima,TRUE,NA,NA,ipyanapya|iyaraya|awiwiwu
naku,CRY,n,trial,CRY|WAIL,syuni|kuzi|huri,TRUE,NA,NA,wuni|pyuwi|yira
herakoi,CUNNING,n,trial,CUNNING|SLY|SNEAKY,nohunea|dzokyuzea|zyokurea,TRUE,NA,NA,roQkiwea|noQpirea|pyokuneu
hiru,DRY,n,trial,DRY|PARCHED,nahi|dzakyi|zyaki,TRUE,NA,NA,pyaQpi|raQgi|nuka
kowai,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,nezyua|zetyua|retsua,TRUE,NA,NA,weQtia|netsia|retuu
tsukareta,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,hinuhohu|wizukyowu|yirukoyu,TRUE,NA,NA,yaniQgomu|wawikoyu|pyiruQkowi
hiratai,FLAT,n,trial,FLAT|SMOOTH,nahuhua|dzakyuwua|zyakuyua,TRUE,NA,NA,raQpumiu|wakuwiu|pyuQkiyua
narui,FLAT,n,trial,FLAT|SMOOTH,syuhia|kukyia|hukia,TRUE,NA,NA,wupyaa|pyukyaa|yiQgiu
tairana,FLAT,n,trial,FLAT|SMOOTH,huahusyu|wuakyuku|yuakuhu,TRUE,NA,NA,wuapyiyu|muaQpipyu|yiuQkuwi
iteru,FREEZE,n,trial,FREEZE,ahohi|awokyi|ayoki,TRUE,NA,NA,awopyi|ayoQpi|umoQka
omosyaiN,GLAD,n,trial,GLAD|HAPPY,etyeruaQ|esenuaQ|esyemuaQ,TRUE,NA,NA,ereyuuQ|eyewuuQ|ehepyiaQ
uresyii,GLAD,n,trial,GLAD|HAPPY,ihora|ikyona|ikoma,TRUE,NA,NA,aQkoya|aQpopya|ikyowu
mabaii,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,tyutyua|suhua|syusyua,TRUE,NA,NA,wiriu|hiyiu|yuwua
ikiru,HUMID,n,trial,HUMID|MUGGY,anahi|azakyi|araki,TRUE,NA,NA,unaki|uraQgi|awuQka
himozyii,HUNGRY,n,trial,HUNGRY|STARVING,natyema|dzasewa|zyasyeha,TRUE,NA,NA,pyayewu|waheru|rureya
sekarasyika,NOISY,n,trial,LOUD|NOISY,konuhuranu|mozukyunazu|gorukumaru,TRUE,NA,NA,yoriQkiwani|pyonikyiyawi|wowupyupyuru
aburaQkoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),utyihunea|uhikyuzea|usyikurea,TRUE,NA,NA,uwapyurea|uyakyunea|irikiweu
mutsugoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),tyihirea|siwisea|syiyityea,TRUE,NA,NA,wawaweu|yapyareu|riyihea
syitsukoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),rahinea|nawizea|mayirea,TRUE,NA,NA,wapyiweu|yawineu|pyuyarea
egarai,PRICKLING,n,trial,PRICKLING|TINGLING|SCRATCHING,oruhua|osukyua|otyukua,TRUE,NA,NA,owukua|orukyua|ohiQgiu
hadagu,RAP (AT THE DOOR),n,trial,RAP (at the door)|KNOCK (at the door),nuwuri|dzuyusi|zyuhutyi,TRUE,NA,NA,wuhuwa|pyuyuha|riwiri
arai,ROUGH,n,trial,ROUGH|GRITTY|COARSE,uhua|ukyua|ukua,TRUE,NA,NA,iQkua|iQgua|ukyiu
futoi,ROUGH,n,trial,ROUGH|GRITTY|COARSE,rihea|giwea|niyea,TRUE,NA,NA,niyeu|riweu|yamea
gurasyi,SAD,n,trial,SAD|GLUM,rihura|sikyuna|tyikuma,TRUE,NA,NA,rikyiya|wiQkipya|hakuwu
setsunai,SAD,n,trial,SAD|GLUM,kohisyua|mowikua|goyihua,TRUE,NA,NA,pyopyayiu|wowawiu|yoyipyua
kudoi,SALTY,n,trial,SALTY|BRINY (taste),niwea|ziyea|rihea,TRUE,NA,NA,nawea|rahea|wiyeu
ezui,SCARY,n,trial,SCARY|FRIGHTENING,ogia|okyia|okia,TRUE,NA,NA,oyau|owau|opyia
kyootee,SCARY,n,trial,SCARY|FRIGHTENING,neho|zewo|reyo,TRUE,NA,NA,newo|remo|weyo
otorosyii,SCARY,n,trial,SCARY|FRIGHTENING,ehehera|ewekyena|eyekema,TRUE,NA,NA,ewekewa|eyeQgeya|emeQkepyu
bisyoQtanee,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,tyarehusyo|hanewuko|syameyuho,TRUE,NA,NA,ruyeyiyo|wuwemiwo|yapyewupyo
misuborasyii,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,tyakityehura|samihekyuna|syagisyekuma,TRUE,NA,NA,rayareQgiyu|yawayeQpiwu|wupyiwekyupya
nomeQkoi,SLICK,n,trial,SLIPPERY|SMOOTH,syetyonea|kesozea|hesyorea,TRUE,NA,NA,yehorea|pyeyonea|wewoweu
doNkusai,SLOW,n,trial,SLOW,weQnikua|yeQzimua|heQrigua,TRUE,NA,NA,yeQrayuu|heQwawuu|weQnipyia
erai,SLUGGISH,n,trial,SLUGGISH|LETHARGIC,ohua|okyua|okua,TRUE,NA,NA,oQkia|oQgia|opyuu
ibii,SMOKY,n,trial,SMOKY,atya|aha|asya,TRUE,NA,NA,aya|ara|uwu
kebutai,SMOKY,n,trial,SMOKY,notyihua|zohiwua|rosyiyua,TRUE,NA,NA,noyimua|roriyua|wowawiu
hiroi,SPACIOUS,n,trial,SPACIOUS|WIDE,nahea|dzakyea|zyakea,TRUE,NA,NA,ruQpea|wukea|napyeu
yabuku,TEAR,n,trial,TEAR|RIP,tutyini|tyuhizi|tsusyiri,TRUE,NA,NA,Qpuyani|Qdurari|tiwiwa
hosoi,THIN,n,trial,THIN|SLENDER,nekea|dzemea|zyegea,TRUE,NA,NA,nepyeu|reyeu|wewea
kosobai,TICKLING,n,trial,TICKLING,neketyua|zemehua|regesyua,TRUE,NA,NA,repyewiu|neweyiu|weyerua
kusuguQtee,TICKLING,n,trial,TICKLING,nikiriho|zimisiwo|rigityiyo,TRUE,NA,NA,niwawawo|ripyaramo|wayihiyo
komaNka,TIGHT,n,trial,TIGHT|PINCHING,netyuQnu|zesuQzu|resyuQru,TRUE,NA,NA,reyiQwi|newiQri|wehuQnu
amai,WEAK,n,trial,BLAND (taste)|TASTELESS|WATERY (taste),utyua|usua|usyua,TRUE,NA,NA,uyiu|uhiu|iwua
