form,eng_trans,status,item,meaning,old_foil,goodone,done,notes,foil
yaNdagunaruQ,ANNOYED/IMPATIENT,iconic,trial,ANNOYED|IMPATIENT,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ,TRUE,NA,NA,QtiQQtiriQkipQtiQ|QpiQhiwihiQpiQ|QdiQwihipQdiQkiQ
futoi,BIG,iconic,trial,BIG|MASSIVE|LARGE|HUGE,rihea|giwea|niyea,TRUE,NA,NA,Qgimea|yiwea|riyea
nigai,BITTER,iconic,trial,BITTER|ACRID,syarua|kasua|hatyua,TRUE,NA,NA,pyawua|harua|wahua
haQkiri,CLEAR,iconic,trial,CLEAR|REFRESHED,nunaha|dzuzakya|zyuraka,TRUE,NA,NA,nuwaQpa|Qgupyapya|wunaQka
suQkiri,CLEAR,iconic,trial,CLEAR|REFRESHED,kinaha|mizakya|giraka,TRUE,NA,NA,yinapya|QgiQkaQka|wiwaQpa
syakiQ,CLEAR,iconic,trial,CLEAR|REFRESHED,runaN|nuzaN|muraN,TRUE,NA,NA,wuwaQ|yunaQ|QguraQ
syaN,CLEAR,iconic,trial,CLEAR|REFRESHED,ruQ|nuQ|muQ,TRUE,NA,NA,QguQ|wuQ|yuQ
hieQda,COLD (WEATHER),iconic,trial,COLD|CHILLY,naowu|dzaoyu|zyaohu,TRUE,NA,NA,raoyu|Qgaowu|waowu
kiNkiN,COLD TO TOUCH,iconic,trial,COLD|CHILLY,naQ|zaQ|raQ,TRUE,NA,NA,naQ|waQ|raQ
syaQkoi,COLD TO TOUCH,iconic,trial,COLD|CHILLY,runea|nuzea|murea,TRUE,NA,NA,yurea|wunea|Qguwea
kirikiri,CRAMPING (STOMACH),iconic,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),naha|zakya|raka,TRUE,NA,NA,raQra|waQpa|napya
syikusyiku,CRAMPING (STOMACH),iconic,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),rani|nazi|mari,TRUE,NA,NA,wawi|yari|Qgani
zurui,CUNNING,iconic,trial,CUNNING|SLY|SNEAKY,gihia|kyikyia|kikia,TRUE,NA,NA,QkiQpia|wiQkia|pyipyia
dayai,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,wutua|yutyua|hutsua,TRUE,NA,NA,hutsua|wutua|QpuQpua
guQtari,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,rihuha|siwukya|tyiyuka,TRUE,NA,NA,wiyiQpa|riwipya|himiQka
hoQkori,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,neneha|dzezekya|zyereka,TRUE,NA,NA,repyepya|weweQpa|neneQka
syiNdo,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,raQwe|naQye|maQhe,TRUE,NA,NA,yaQye|QgaQhe|waQwe
hayai,FAST,iconic,trial,FAST|QUICK|SPEEDY,nutua|dzutyua|zyutsua,TRUE,NA,NA,nuQtua|wutsua|ruQpua
syimiru,FREEZE,iconic,trial,FREEZE,ratyahi|nasakyi|masyaki,TRUE,NA,NA,wahaQpi|QgaQkaQki|yayapyi
katyikatyi,HARD,iconic,trial,HARD,nuwa|zuya|ruga,TRUE,NA,NA,ruwa|wura|nuya
omoi,HEAVY,iconic,trial,HEAVY,etyea|esea|esyea,TRUE,NA,NA,ehea|eQkea|eyea
atsui,HOT,iconic,trial,HOT,uhia|uwia|uyia,TRUE,NA,NA,iQgia|iwia|iyia
nuQka,HOT,iconic,trial,HOT,syinu|kizu|hiru,TRUE,NA,NA,pyipyi|hiri|wiwi
hotoru,HUMID,iconic,trial,HUMID|MUGGY,nehehi|dzewekyi|zyeyeki,TRUE,NA,NA,QgemeQpi|reyepyi|weweQki
zyitozyito,HUMID,iconic,trial,HUMID|MUGGY,mahe|wawe|haye,TRUE,NA,NA,wame|pyawe|raye
syikasyika,ITCHING,iconic,trial,ITCHING|PRICKLING,ranu|nazu|maru,TRUE,NA,NA,wanu|Qgawu|yaru
naGai,LONG,iconic,trial,LONG,syurua|kusua|hutyua,TRUE,NA,NA,pyuGua|huGua|yuGua
nurui,LUKEWARM,iconic,trial,LUKEWARM,syihia|kikyia|hikia,TRUE,NA,NA,hiQpia|yipyia|pyiQkia
ookii,NOISY,iconic,trial,LOUD|NOISY,ena|eza|era,TRUE,NA,NA,ena|era|ewa
urusai,NOISY,iconic,trial,LOUD|NOISY,ihikua|ikyimua|ikigua,TRUE,NA,NA,ipyiwia|iQkiQgia|iQpiyia
zyukuzyuku,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mini|wizi|hiri,TRUE,NA,NA,wiwi|pyiri|rini
zyuruzyuru,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mihi|wikyi|hiki,TRUE,NA,NA,yiQpi|pyipyi|wiQki
bakubaku,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),tyuni|huzi|syuri,TRUE,NA,NA,rini|yiri|wiwi
dokidoki,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),wena|yeza|hera,TRUE,NA,NA,hena|yewa|wera
toNtoN,POUNDING (HEART),iconic,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),heQ|weQ|yeQ,TRUE,NA,NA,yeQ|weQ|meQ
hirihiri,PRICKLING,iconic,trial,PRICKLING|TINGLING|SCRATCHING,naha|dzakya|zyaka,TRUE,NA,NA,raQka|QgaQpa|wapya
tyikatyika,PRICKLING,iconic,trial,PRICKLING|TINGLING|SCRATCHING,wanu|yazu|garu,TRUE,NA,NA,wawu|raru|yanu
syiiN,QUIET,iconic,trial,QUIET,raQ|naQ|maQ,TRUE,NA,NA,QgaQ|yaQ|waQ
tataku,RAP (AT THE DOOR),iconic,trial,RAP (at the door)|KNOCK (at the door),huhuni|wuwuzi|yuyuri,TRUE,NA,NA,wiwini|yiyiri|mimiwi
zaQkuzaQku,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,guni|kyuzi|kuri,TRUE,NA,NA,Qkiwi|wini|pyiri
zyarizyari,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,muha|wukya|huka,TRUE,NA,NA,QpuQpa|wupya|pyuQka
zyasyizyasyi,ROUGH,iconic,trial,ROUGH|GRITTY|COARSE,mura|wuna|huma,TRUE,NA,NA,wuQga|yuya|ruwa
marui,ROUND,iconic,trial,ROUND|CIRCULAR,tyuhia|sukyia|syukia,TRUE,NA,NA,hiQpia|Qkipyia|yiQkia
adzu,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,uwi|uyi|uhi,TRUE,NA,NA,iyi|ipyi|iwi
atsukamasyii,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,uhinutyura|uwizusuna|uyirusyuma,TRUE,NA,NA,iQgiwiyiQgi|iwinihiwi|iyiriQriyi
zuuzuusyii,RUDE,iconic,trial,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima,TRUE,NA,NA,pyipyiwa|wiwiya|QkiQkiQga
samisyii,SAD,iconic,trial,SAD|GLUM,kutyara|musana|gusyama,TRUE,NA,NA,yuhawu|wuQkayu|QguyaQgu
kowa,SCARY,iconic,trial,SCARY|FRIGHTENING,nezyu|zetyu|retsu,TRUE,NA,NA,tetu|reQtu|netyu
zyizyimusai,SHABBY,iconic,trial,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua,TRUE,NA,NA,wawahiyia|pyapyayiwia|yayaQkiQgia
buruburu,SHAKING,iconic,trial,SHAKING|TREMBLING,tyihi|hikyi|syiki,TRUE,NA,NA,wiQki|QpiQpi|yipyi
gatagata,SHAKING,iconic,trial,SHAKING|TREMBLING,ruhu|suwu|tyuyu,TRUE,NA,NA,rumu|wuwu|huyu
nebutai,SLEEPY,iconic,trial,SLEEPY|DROWSY,syotyihua|kohiwua|hosyiyua,TRUE,NA,NA,Qkowiyia|hoyimia|pyoriwia
tsurutsuru,SLICK,iconic,trial,SLIPPERY|SMOOTH,hihi|wikyi|yiki,TRUE,NA,NA,wiQpi|QgiQki|yipyi
