form,item,meaning,no_foils,,mosaic_video
honnori,practice,wafting,,,
chirahora,practice,skattered,,,
chikuchiku,trial,prickling|stinging|tingling,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LLwZTrfzSEw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
bukubuku,trial,chubby|pudgy|fat,debudebu,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bJ0QyPoIR54"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
bukubuku2,trial,round|swollen|bloated,bukubuku,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xYLOuWXRvNE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
debudebu,trial,fat|pudgy|dumpy,bukubuku,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/iG1EXh20ui0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
hisohiso,trial,whispering|hushed|quietly,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZxqE07zZ8Tk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
kachikachi,trial,hard|solid|firm,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mQ0N5O-MbCo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
gayagaya,trial,loud|hubbub|noisy,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cAPjqgEakcs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
gojagoja,trial,jumbled up|mixed up|muddled up,gojagoja2,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qU7YOQXmgug"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
gojagoja2,trial,jumbled up|mixed up|muddled up,gojagoja,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LcmosCk_h_U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
hokahoka,trial,steaming hot|piping hot|scalding hot,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8LHnMJKTtrg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
fuwafuwa,trial,fluffy|spongy|soft,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7MQ9Ymo7CEs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
betabeta,trial,sticky|gummy|gooey,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Y__qbpkfZLw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
dokidoki,trial,anxious|afraid|nervous,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GcgGjouUkQ4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
