ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
iː	+	-	+	+	+	0	-	-	+	-	+	-	+	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɪː	+	-	+	+	+	0	-	-	+	-	+	-	+	-	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ĩː	+	-	+	+	+	0	-	-	+	-	+	-	+	+	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɪ̃ː	+	-	+	+	+	0	-	-	+	-	+	-	+	+	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɨː	+	-	+	+	+	0	-	-	-	-	+	-	+	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɨ̃ː	+	-	+	+	+	0	-	-	-	-	+	-	+	+	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
j	-	-	+	+	+	0	-	-	+	-	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɟ	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	+	-	-	0	0	+
j̥	-	-	+	+	+	0	-	-	+	-	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
ɟ̥	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	-	-	-	0	0	+
ʝ	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	+	-	-	0	0	+
ʝ̥	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	-	-	-	0	0	+
ɟʝ	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	+	-	-	0	0	+
ɟ͡ʝ	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	-	-	-	+	-	-	0	0	+
