ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
t͡ʃ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	-	0	0	+
t͡ʃʼ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	+	0	0	+
ʈʂ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	+	-	-	-	-	-	-	0	0	+
t̪s̪	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	+	-	-	-	-	-	-	0	0	+
ʈ͡ʂ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	+	-	-	-	-	-	-	0	0	+
t̪͡s̪	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	+	-	-	-	-	-	-	0	0	+
t͡ʃʰ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	+	-	0	0	+
t̪θ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	-	-	-	-	-	-	-	0	0	+
t̪͡θ	-	+	-	-	-	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	-	-	-	-	-	-	-	0	0	+
u	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ũ	+	-	+	+	+	0	-	-	-	+	+	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʉ	+	-	+	+	+	0	-	-	-	-	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʉ̃	+	-	+	+	+	0	-	-	-	-	+	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
u̥	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ʉ̥	+	-	+	+	+	0	-	-	-	-	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ʊ	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʊ̃	+	-	+	+	+	0	-	-	-	+	+	-	-	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʊ̥	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	-	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
uː	+	-	+	+	+	0	-	-	-	+	+	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ũː	+	-	+	+	+	0	-	-	-	+	+	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʉː	+	-	+	+	+	0	-	-	-	-	+	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʉ̃ː	+	-	+	+	+	0	-	-	-	-	+	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʊː	+	-	+	+	+	0	-	-	-	+	+	-	+	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʊ̃ː	+	-	+	+	+	0	-	-	-	+	+	-	+	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
v	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	+	-	-	0	0	+
v̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	-	-	-	0	0	+
ʋ	-	-	+	+	+	0	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	+	-	-	0	0	+
ʌ	+	-	+	+	+	0	-	-	-	+	-	-	-	-	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ʌ̃	+	-	+	+	+	0	-	-	-	+	-	-	-	+	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ʋ̥	-	-	+	+	+	0	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	+	-	-	-	0	0	+
ʌ̥	+	-	+	+	+	0	-	-	-	+	-	-	-	-	-	-	-	-	+	0	0	0	-	-	-	-	-	-	-	0	+
ʌː	+	-	+	+	+	0	-	-	-	+	-	-	+	-	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ʌ̃ː	+	-	+	+	+	0	-	-	-	+	-	-	+	+	-	-	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
w	-	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	0	0	+
w̥	-	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	0	0	+
ʍ	-	-	-	-	+	+	-	-	-	+	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	+	-	0	0	+
x	-	+	-	-	+	+	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
x̟	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
x̠	-	+	-	-	+	+	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
y	+	-	+	+	+	0	-	-	+	-	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	0	0	+
ʏ	+	-	+	+	+	0	-	-	+	-	+	-	-	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	0	0	+
ỹ	+	-	+	+	+	0	-	-	+	-	+	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʏ̃	+	-	+	+	+	0	-	-	+	-	+	-	-	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
y̥	+	-	+	+	+	0	-	-	+	-	+	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ʏ̥	+	-	+	+	+	0	-	-	+	-	+	-	-	-	-	-	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ʎ	-	+	+	+	+	0	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	+	-	-	+	-	-	0	0	+
ʎ̥	-	+	+	+	+	0	-	-	+	-	+	-	-	-	-	0	-	+	+	-	+	-	+	-	-	-	-	-	0	0	+
yː	+	-	+	+	+	0	-	-	+	-	+	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʏː	+	-	+	+	+	0	-	-	+	-	+	-	+	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ỹː	+	-	+	+	+	0	-	-	+	-	+	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ʏ̃ː	+	-	+	+	+	0	-	-	+	-	+	-	+	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
z	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	+	-	-	-	+	-	-	0	0	+
ʐ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	+	-	-	-	+	-	-	0	0	+
z̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	+	-	-	-	-	-	-	0	0	+
ʑ	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	+	+	+	+	+	-	-	-	+	-	-	0	0	+
ʐ̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	+	-	-	-	-	-	-	0	0	+
ʑ̥	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	+	+	+	+	+	-	-	-	-	-	-	0	0	+
ʒ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	+	-	-	0	0	+
ʒ̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	-	+	+	-	-	-	-	-	-	0	0	+
ʔ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	-	-	-	0	0	0	-	-	-	-	-	+	0	0	+
ʕ	-	+	-	-	+	-	-	-	-	+	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ʕ̥	-	+	-	-	+	-	-	-	-	+	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
β	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	+	-	-	0	0	+
β̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
θ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	+	-	-	-	-	-	-	-	0	0	+
χ	-	+	-	-	+	+	-	-	-	+	-	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
χː	-	+	-	-	+	+	-	-	-	+	-	-	+	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
χʲ	-	+	-	-	+	+	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	-	-	+
χʷ	-	+	-	-	+	+	-	-	-	+	-	-	-	-	-	0	+	-	+	0	0	0	-	+	-	-	-	-	-	-	+
ŋ̩	+	+	-	+	-	0	-	-	0	0	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
g	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
