experiment,trial,item_type,form,meaning,foils
2,1,practice,honnori,WAFTING,chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,2,practice,chirahora,SKATTERED,honnori|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,3,trial,chikuchiku,PRICKLING|STINGING|TINGLING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,4,trial,boroboro,SLOPPILY|CRUMBLING|MESSILY,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,5,trial,kankan2,ANGRY|FURIOUS|MAD,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,6,trial,kirakira,SPARKLING|GLITTERING|TWINKLING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,7,trial,nikoniko-nomosaic,SMILING|BEAMING|GRINNING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,8,trial,buruburu,COLD|CHILLY|FREEZING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
2,9,trial,gojagoja,JUMBLED UP|MIXED UP|MUDDLED UP,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|sekaseka|berabera|hokahoka|shikkari
2,10,trial,wanwan,CRYING|BAWLING|HOWLING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
