experiment,trial,item_type,form,meaning
26,1,practice,yoroyoro,WOBBLING
26,2,practice,fuwafuwa,FLUFFY
26,3,trial,syibareru,COLD|CHILLY
26,4,trial,kudoi,OILY/HEAVY (food)
26,5,trial,adzu,RUDE|ARROGANT|BRAZEN
26,6,trial,kityii,TIGHT|PINCHING
26,7,trial,kurai,DARK|DIM
26,8,trial,marui,ROUND|CIRCULAR
26,9,trial,akaanakaQta,DARK|DIM
26,10,trial,syiNdoi,SLUGGISH|LETHARGIC
26,11,trial,omotai,FUZZY|BLURRY|HAZY
26,12,control,katai,HARD
26,13,control,pyoNpyoN,BOUNCING|HOPPING
26,14,control,hisohiso,WHISPERING
27,1,practice,yoroyoro,WOBBLING
27,2,practice,fuwafuwa,FLUFFY
27,3,trial,deQkai,BIG|MASSIVE|LARGE|HUGE
27,4,trial,piNpiN,LIVELY|ENERGETIC
27,5,trial,saku,TEAR|RIP
27,6,trial,bisyobisyo,WET|SOGGY|DAMP
27,7,trial,zarazara,ROUGH|GRITTY|COARSE
27,8,trial,saQpari,CLEAN|TIDY
27,9,trial,hasyikai,PRICKLING|TINGLING
27,10,trial,kara,EMPTY
27,11,trial,osorosyii,SCARY|FRIGHTENING
27,12,control,katai,HARD
27,13,control,pyoNpyoN,BOUNCING|HOPPING
27,14,control,hisohiso,WHISPERING
28,1,practice,yoroyoro,WOBBLING
28,2,practice,fuwafuwa,FLUFFY
28,3,trial,toroi,SLOW
28,4,trial,yawarakai,SOFT|SQUISHY
28,5,trial,zawazawa,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE)
28,6,trial,neranera,STICKY|GOOEY
28,7,trial,nuQka,HOT
28,8,trial,boroboro,SCRUFFY|TATTY|RAGGEDY
28,9,trial,ezui,SCARY|FRIGHTENING
28,10,trial,uresyii,GLAD|HAPPY
28,11,trial,ookii,ROUGH|GRITTY|COARSE
28,12,control,katai,HARD
28,13,control,pyoNpyoN,BOUNCING|HOPPING
28,14,control,hisohiso,WHISPERING
29,1,practice,yoroyoro,WOBBLING
29,2,practice,fuwafuwa,FLUFFY
29,3,trial,kirikiri,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach)
29,4,trial,iraira,ANNOYED|IMPATIENT
29,5,trial,suQkoi,CUNNING|SLY|SNEAKY
29,6,trial,subesube,SLIPPERY|SMOOTH
29,7,trial,katyikatyi,HARD
29,8,trial,hetoheto,EXHAUSTED|TIRED|WEARY
29,9,trial,mutsugoi,OILY/HEAVY (food)
29,10,trial,kowai,HARD
29,11,trial,hasyikai,ITCHING|PRICKLING
29,12,control,katai,HARD
29,13,control,pyoNpyoN,BOUNCING|HOPPING
29,14,control,hisohiso,WHISPERING
30,1,practice,yoroyoro,WOBBLING
30,2,practice,fuwafuwa,FLUFFY
30,3,trial,osoi,SLOW
30,4,trial,yakiyaki,ANNOYED|IMPATIENT
30,5,trial,zukizuki,POUNDING (e.g. headache)|THROBBING (e.g. headache)
30,6,trial,mukamuka,ANNOYED|IMPATIENT
30,7,trial,nukui,WARM
30,8,trial,yaoi,SOFT|SQUISHY
30,9,trial,maNpuku,STUFFED (from eating too much)|FULL (from eating)
30,10,trial,kyootee,SCARY|FRIGHTENING
30,11,trial,futoi,ROUGH|GRITTY|COARSE
30,12,control,katai,HARD
30,13,control,pyoNpyoN,BOUNCING|HOPPING
30,14,control,hisohiso,WHISPERING
31,1,practice,yoroyoro,WOBBLING
31,2,practice,fuwafuwa,FLUFFY
31,3,trial,paNpaN,STUFFED (from eating too much)|FULL (from eating)
31,4,trial,yarakai,SOFT|SQUISHY
31,5,trial,musyimusyi,HUMID|MUGGY
31,6,trial,karai,SALTY|BRINY (taste)
31,7,trial,dzugedzuge,RUDE|ARROGANT|BRAZEN
31,8,trial,nurunuru,SLIMY|SLIPPERY|SLICK
31,9,trial,kosobai,TICKLING
31,10,trial,gurasyi,SAD|GLUM
31,11,trial,naku,CRY|WAIL
31,12,control,katai,HARD
31,13,control,pyoNpyoN,BOUNCING|HOPPING
31,14,control,hisohiso,WHISPERING
