experiment,trial,item_type,form,meaning,foils
6,5,trial,tyiQtyai,SMALL|LITTLE|TINY,wawua|yayua|gagua
6,6,trial,syikusyiku,WATERY (EYES)|BLEARY (EYES),rani|nazi|mari
6,7,trial,iQpai,FULL (TO THE BRIM)|FULL (TO BURSTING),asyua|awua|ayua
6,8,trial,tataku,RAP (AT THE DOOR)|KNOCK (AT THE DOOR),huhuni|wuwuzi|yuyuri
6,9,trial,zuuzuusyii,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima
6,10,trial,tsumetee,COLD|CHILLY,hityoho|wisowo|yisyoyo
6,11,trial,nomeQkoi,SLIPPERY|SMOOTH,syetyonea|kesozea|hesyorea
6,12,trial,sabui,COLD|CHILLY,kutyia|muhia|gusyia
6,13,trial,kukuru,BIND|TIGHTEN,ninihi|zizikyi|ririki
6,14,control,katai,HARD,nuhua|zuwua|ruyua
6,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
6,16,control,hisohiso,WHISPERING,nake|dzame|zyage
7,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
7,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
7,3,trial,kibui,TIGHT|PINCHING,natyia|zahia|rasyia
7,4,trial,izyiizyi,ANNOYED|IMPATIENT,ama|awa|aha
7,5,trial,zuruNzuruN,SLIMY|GOOEY,gihiQ|kyikyiQ|kikiQ
7,6,trial,boNyari,FUZZY|BLURRY|HAZY,tyeQtuha|heQtyukya|syeQtsuka
7,7,trial,syiiN,QUIET,raQ|naQ|maQ
7,8,trial,zyuruzyuru,OOZING|DRIBBLING|SEEPING OUT (E.G. LIQUID),mihi|wikyi|hiki
7,9,trial,haQkiri,CLEAR|REFRESHED,nunaha|dzuzakya|zyuraka
7,10,trial,nobude,RUDE|ARROGANT|BRAZEN,syetyiwo|kehiyo|hesyiho
7,11,trial,syibutoi,RUDE|ARROGANT|BRAZEN,ratyihea|nahiwea|masyiyea
7,12,trial,biNbogena,SCRUFFY|TATTY|RAGGEDY,tyaQtyerosyu|haQhesoku|syaQsyetyohu
7,13,trial,osorosyii,SCARY|FRIGHTENING,ekehera|emekyena|egekema
7,14,control,katai,HARD,nuhua|zuwua|ruyua
7,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
7,16,control,hisohiso,WHISPERING,nake|dzame|zyage
8,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
8,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
8,3,trial,taputapu,SLOSHING|SPLASHING,husyi|wuwi|yuyi
8,4,trial,kiiN,RINGING (E.G. A RINGING SOUND IN YOUR EARS),naQ|zaQ|raQ
8,5,trial,niyaniya,CRAMPING (E.G. IN STOMACH)|SPASMING (E.G. IN STOMACH),syatu|katyu|hatsu
8,6,trial,saku,TEAR|RIP,kuni|muzi|guri
8,7,trial,boroboro,SCRUFFY|TATTY|RAGGEDY,tyehe|hekye|syeke
8,8,trial,urusai,LOUD|NOISY,ihikua|ikyimua|ikigua
8,9,trial,kutakuta,EXHAUSTED|TIRED|WEARY,nihu|ziwu|riyu
8,10,trial,kogoru,FREEZE,nerehi|zesekyi|retyeki
8,11,trial,gomeku,CRY|WAIL,retyoni|sesozi|tyesyori
8,12,trial,tsurai,SAD|GLUM,hihua|wikyua|yikua
8,13,trial,arai,ROUGH|GRITTY|COARSE,uhua|ukyua|ukua
8,14,control,katai,HARD,nuhua|zuwua|ruyua
8,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
8,16,control,hisohiso,WHISPERING,nake|dzame|zyage
9,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
9,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
9,3,trial,futoi,THICK|FAT,rihea|giwea|niyea
9,4,trial,mukamuka,ANNOYED|IMPATIENT,tyinu|sizu|syiru
9,5,trial,hotoru,HUMID|MUGGY,nehehi|dzewekyi|zyeyeki
9,6,trial,zyasyizyasyi,ROUGH|GRITTY|COARSE,mura|wuna|huma
9,7,trial,omoi,HEAVY,etyea|esea|esyea
9,8,trial,zyikazyika,"STINGING (PAIN, E.G. IN EYES)|BURNING (PAIN, E.G. IN EYES)",manu|wazu|haru
9,9,trial,saQpari,CLEAR|REFRESHED,kusyuha|muwukya|guyuka
9,10,trial,deQkai,ROUGH|GRITTY|COARSE,wonua|yozua|horua
9,11,trial,omotai,FUZZY|BLURRY|HAZY,etyehua|esewua|esyeyua
9,12,trial,kara,EMPTY,nuhu|zukyu|ruku
9,13,trial,koragu,DRY|PARCHED,nehuri|zekyusi|rekutyi
9,14,control,katai,HARD,nuhua|zuwua|ruyua
9,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
9,16,control,hisohiso,WHISPERING,nake|dzame|zyage
10,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
10,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
10,3,trial,syaNsyaN,LIVELY|ENERGETIC,ruQ|nuQ|muQ
10,4,trial,yaQkiri,ANNOYED|IMPATIENT,tunaha|tyuzakya|tsuraka
10,5,trial,tyiNtye,THIN|SLENDER,waQwo|yaQyo|gaQgo
10,6,trial,keQko,CLEAN|TIDY,none|zoze|rore
10,7,trial,syikasyika,ITCHING|PRICKLING,ranu|nazu|maru
10,8,trial,sukoi,CUNNING|SLY|SNEAKY,kinea|mizea|girea
10,9,trial,syakiQ,CLEAR|REFRESHED,runaN|nuzaN|muraN
10,10,trial,nigiyaka,LOUD|NOISY,syaratunu|kasatyuzu|hatyatsuru
10,11,trial,mameda,LIVELY|ENERGETIC,tyutyowu|susoyu|syusyohu
10,12,trial,iteru,FREEZE,ahohi|awokyi|ayoki
10,13,trial,hiru,DRY|PARCHED,nahi|dzakyi|zyaki
10,14,control,katai,HARD,nuhua|zuwua|ruyua
10,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
10,16,control,hisohiso,WHISPERING,nake|dzame|zyage
11,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
11,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
11,3,trial,hieQda,COLD|CHILLY,naowu|dzaoyu|zyaohu
11,4,trial,kudoi,OILY/HEAVY (FOOD),niwea|ziyea|rihea
11,5,trial,nebaneba,STICKY|GOOEY,syotyu|kohu|hosyu
11,6,trial,yaoi,SOFT|SQUISHY,tuea|tyuea|tsuea
11,7,trial,yakamasyii,LOUD|NOISY,tunutyura|tyuzusuna|tsurusyuma
11,8,trial,nureru,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki
11,9,trial,syobosyobo,"STINGING (PAIN, E.G. IN EYES)|BURNING (PAIN, E.G. IN EYES)",retye|nehe|mesye
11,10,trial,oodoona,RUDE|ARROGANT|BRAZEN,ewesyu|eyeku|ehehu
11,11,trial,hosoi,THIN|SLENDER,nekea|dzemea|zyegea
11,12,trial,hidoroQko,GLARING (LIGHT)|BLINDING (LIGHT),nawehene|dzayekyeze|zyahekere
11,13,trial,uresyii,GLAD|HAPPY,ihora|ikyona|ikoma
11,14,control,katai,HARD,nuhua|zuwua|ruyua
11,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
11,16,control,hisohiso,WHISPERING,nake|dzame|zyage
12,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
12,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
12,3,trial,syibityoo,COLD|CHILLY,ratyawe|nahaye|masyage
12,4,trial,samisyii,SAD|GLUM,kutyara|musana|gusyama
12,5,trial,zoNzoN,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),geQ|kyeQ|keQ
12,6,trial,hetoheto,EXHAUSTED|TIRED|WEARY,nohe|dzowe|zyoye
12,7,trial,pokapoka,WARM,syenu|wezu|yeru
12,8,trial,zyitozyito,HUMID|MUGGY,mahe|wawe|haye
12,9,trial,kityii,TIGHT|PINCHING,nawa|zaya|raga
12,10,trial,akaanakaQta,DARK|DIM,unusyunuhu|uzukuzuwu|uruhuruyu
12,11,trial,kusuguQtee,TICKLING,nikiriho|zimisiwo|rigityiyo
12,12,trial,kaii,ITCHING|PRICKLING,nua|zua|rua
12,13,trial,omosyaiN,GLAD|HAPPY,etyeruaQ|esenuaQ|esyemuaQ
12,14,control,katai,HARD,nuhua|zuwua|ruyua
12,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
12,16,control,hisohiso,WHISPERING,nake|dzame|zyage
13,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
13,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
13,3,trial,yaNdagunaruQ,ANNOYED|IMPATIENT,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ
13,4,trial,syibui,SOUR|ACIDIC,ratyia|nahia|masyia
13,5,trial,syakiQ,LIVELY|ENERGETIC,runaN|nuzaN|muraN
13,6,trial,nigai,ACRID (TASTE)|BITTER (TASTE),syarua|kasua|hatyua
13,7,trial,yawarakai,SOFT|SQUISHY,tuzyuhunua|tyutyukyuzua|tsutsukurua
13,8,trial,katyikatyi,HARD,nuwa|zuya|ruga
13,9,trial,syitosyito,WET|SOGGY|DAMP,rahe|nawe|maye
13,10,trial,sekarasyika,LOUD|NOISY,konuhuranu|mozukyunazu|gorukumaru
13,11,trial,bisyoQtanee,SCRUFFY|TATTY|RAGGEDY,tyarehusyo|hanewuko|syameyuho
13,12,trial,herakoi,CUNNING|SLY|SNEAKY,nohunea|dzokyuzea|zyokurea
